generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_raw_reward
1,0.15743977197100179,-0.2424704248435534,-4.437689890017176,-0.2424704248435534
2,0.15663772924718372,-0.1347892507871173,-2.74956298862759,-0.1347892507871173
3,0.1461149302116761,-0.007236114630114107,-1.7127514218744164,-0.21808290839164068
4,0.13971322525560306,-0.002892851764695563,-0.8456312193176475,-0.21226656993052506
5,0.13319666684075782,-0.004038587517426178,-0.376531222108878,-0.21550302495239432
6,0.12466162621742785,-0.003164456135288538,-0.356252412946268,-0.12574022798244316
7,0.1183061836589997,-0.001638821739687044,-0.29521952884601105,-0.006453947674590033
8,0.11434815532864451,-0.001655058416769621,-0.33470522252085055,-0.008826570902869408
9,0.11068543531641864,-0.0024958397164465715,-0.32690286520606354,-0.011706317278347636
10,0.10908190229175067,-0.0015852659243380967,-0.33804498714478926,-0.003256390749222124
11,0.11183692018752908,-0.0016579154018037904,-0.2574680662794763,-0.004420230697403542
12,0.11194090630949365,-0.001067921235270097,-0.2417551079847579,-0.0011775303174957447
13,0.11073146628657975,-0.0015359889047922948,-0.29397089490824047,-0.003905381448447548
14,0.11382407737830615,-0.0016517866928966551,-0.29114155051983004,-0.005095884693184067
15,0.11072712882569455,-0.0008287859422282315,-0.21112184576534004,-0.0024619234408870473
16,0.1099842114152022,-0.0006271087412482441,-0.3017828315368746,-0.0012288488352549063
17,0.1093764105466769,-0.0009961201500326175,-0.2721301163445726,-0.0016903711706048158
18,0.10942054703356817,-0.0017999789194269949,-0.19037483235643482,-0.004072784195157173
19,0.10872291270660767,-0.0016764642120815226,-0.30867135485997876,-0.004084090995554633
20,0.11117908405861439,-0.0020232912199766714,-0.1837773311095258,-0.005099364611205007
21,0.1113257489956239,-0.0004916618911245051,-0.2642845089509679,-0.002770821661475631
22,0.11051674365404267,-0.0004250530521308211,-0.22115991668738816,-0.004346078740277062
23,0.10983323097524013,-0.0007082256596807944,-0.30853117524203677,-0.0031047617785265073
24,0.1112110471388559,-0.0007273559582038962,-0.3052321283733129,-0.004168053208922928
25,0.11028770856220946,-0.00021333153459308267,-0.2953732342855614,-0.0015004567362466859
26,0.11016249221601422,-0.0003917543373220739,-0.24523387396971064,-0.002403679566723419
27,0.1093008298212142,-0.0004477095062620846,-0.30222112533225215,-0.004044610577693951
28,0.10983453937862789,-0.00032010078586147185,-0.2254293984796529,-0.0006734766558617634
29,0.10868311564844443,-0.0002863058238686944,-0.2751722477438233,-0.0006209909642921216
30,0.11009129962538387,-0.0006739208879010669,-0.3044968969082012,-0.002605900547799792
31,0.10847768375095386,-0.00024904676685221584,-0.22384220198420873,-0.0005468349619234554
32,0.10780611577929675,-0.0004530754290190626,-0.22065263419640488,-0.0009760297892612432
33,0.10728075899832179,-0.0004991875246989924,-0.24724687531106546,-0.000976789724276826
34,0.11054153790890288,-0.00018441939529994294,-0.26541409961297513,-0.00026263581824667234
35,0.11167396722342524,-0.0005681147481056303,-0.23069107300361186,-0.0036632745071697127
36,0.1101925230215438,-0.00027208600741852207,-0.22582942560904012,-0.000515934798206196
37,0.11152690855806344,-0.00011374914541125182,-0.23104819551363054,-0.0010040265900180595
38,0.11046417376690318,-9.032414576504173e-05,-0.22103840342168574,-0.0006905835332661463
39,0.10984001481040125,-0.00013398442899606623,-0.20398166583823948,-0.0012622229778447764
40,0.11064568502011927,-0.00019087609849615267,-0.2233606940454176,-0.002416883561748094
41,0.10972477867911572,-0.0002794421538101982,-0.16626513717890043,-0.0031638138084669675
42,0.10917980218167107,-0.0001507483162425527,-0.21714525376070504,-0.00249567024279752
43,0.1087650811397387,-8.499603704288884e-05,-0.21352004743213826,-0.0024323093560156507
44,0.1086872578636345,-0.00016435970012576657,-0.15744288600777007,-0.0015779943560164569
45,0.11161299439492846,-0.00032029508859460063,-0.2069305826800678,-0.001294189727209247
46,0.11109644621873449,-0.00011046997848613016,-0.27046050987107323,-0.00030167832549829135
47,0.1102271334850965,-0.00022553197757300844,-0.3684782558011575,-0.0008125302882342023
48,0.11154199573343267,-0.00017832027732816443,-0.23270612171013355,-0.0007449320384165753
49,0.10908676700857285,-0.0003271053909617569,-0.2074841106913799,-0.0005404320757980825
50,0.1097628082235739,-0.00021245686922468293,-0.3418823269721475,-0.0015355681151508584
